PLOT_ID,TRTMT,MDS1,MDS2
C10,C,-1.564030165,0.561376857
C11,C,-0.279100839,0.89100294
C12,C,0.2632263,0.193490911
C2,C,0.148572137,-0.168956071
C3,C,0.62069723,0.043634463
C4,C,0.951473585,0.559769521
C5,C,-0.208682749,-1.315112145
C6,C,-0.123105935,-0.183699161
C7,C,0.808818189,-0.192106159
C8,C,-0.314673045,0.063155201
C9,C,-0.624628341,0.32069086
T10,T,-3.145312319,-0.343744549
T11,T,-0.146521821,0.08330743
T12,T,0.718165346,-0.348989367
T2,T,0.101828368,0.055805708
T3,T,0.941382453,0.037864099
T4,T,0.629397572,0.495892947
T5,T,0.367297802,-0.415501803
T6,T,0.328474482,-0.423541528
T7,T,0.537928675,-0.466740346
T8,T,0.087900585,0.243030331
T9,T,-0.09910751,0.309369862
